text,label
骂中国归骂，当务之急先管好你们自己吧。,"[{""start"": 1, ""end"": 3, ""text"": ""中国"", ""labels"": [""LOC""]}]"
咱们国家在疫情控制上怕舆论，没封城，反而扩散的这么广了，以后就该第一时间封城才对！,"[{""start"": 15, ""end"": 17, ""text"": ""封城"", ""labels"": [""POL""]}, {""start"": 36, ""end"": 38, ""text"": ""封城"", ""labels"": [""POL""]}]"
疫情让川普连任出现了新的挑战，仅此而已。,"[{""start"": 3, ""end"": 5, ""text"": ""川普"", ""labels"": [""PER""]}]"
疫情当前，银保监会也不放松对P2P的整治，这种为维护金融稳定的行为值得称赞。,"[{""start"": 5, ""end"": 9, ""text"": ""银保监会"", ""labels"": [""ORG""]}]"
一月十几号的时候，新闻媒体都没有大肆报道疫情的事,"[{""start"": 0, ""end"": 5, ""text"": ""一月十几号"", ""labels"": [""TIME""]}]"
中国????必胜！,"[{""start"": 0, ""end"": 2, ""text"": ""中国"", ""labels"": [""LOC""]}]"
我们四月份的美国西部旅游。,"[{""start"": 2, ""end"": 5, ""text"": ""四月份"", ""labels"": [""TIME""]}, {""start"": 6, ""end"": 8, ""text"": ""美国"", ""labels"": [""LOC""]}]"
[允悲]现在制造业能卖的而且又是刚需的，就是口罩等防护用品，先不考虑赚不赚钱，至少不会让防疫期间工人饿倒或者裁员，即自救又能为疫情出一分力。,"[{""start"": 22, ""end"": 24, ""text"": ""口罩"", ""labels"": [""TOOL""]}]"
疫情还没有结束，全国医疗队伍都在支援武汉，个别医生应当放下给外国杂志写论文的笔，,"[{""start"": 18, ""end"": 20, ""text"": ""武汉"", ""labels"": [""LOC""]}]"
原来以为这次疫情要比非典轻，从最近发展来看，正好相反啊,"[{""start"": 10, ""end"": 12, ""text"": ""非典"", ""labels"": [""DIS""]}]"
解放军来视察台湾肺炎疫情，明天继续。,"[{""start"": 0, ""end"": 3, ""text"": ""解放军"", ""labels"": [""ORG""]}, {""start"": 6, ""end"": 8, ""text"": ""台湾"", ""labels"": [""LOC""]}, {""start"": 8, ""end"": 10, ""text"": ""肺炎"", ""labels"": [""DIS""]}]"
疫情当前，作为地方性金融机构，农商银行在支持复工复产方面还是很有担当的，多传播正能量吧,"[{""start"": 15, ""end"": 19, ""text"": ""农商银行"", ""labels"": [""ORG""]}]"
管那么多并不能改变什么，做好自己的防护工作，出门戴口罩，洗手洗到手腕内部就好，其他的交给国家，不要传谣，不要瞎起哄，不要去疫情严重区域就是对国家的贡献。,"[{""start"": 25, ""end"": 27, ""text"": ""口罩"", ""labels"": [""TOOL""]}]"
",电话中他表示，红十字会工作只是疫情防控工作中的一个“小环节”，红十字会要说的话已在官方微信公众号和官网上说过了。","[{""start"": 8, ""end"": 12, ""text"": ""红十字会"", ""labels"": [""ORG""]}, {""start"": 32, ""end"": 36, ""text"": ""红十字会"", ""labels"": [""ORG""]}]"
日本没有这样操作，毕竟这不是埃博拉病毒。,"[{""start"": 0, ""end"": 2, ""text"": ""日本"", ""labels"": [""LOC""]}, {""start"": 14, ""end"": 19, ""text"": ""埃博拉病毒"", ""labels"": [""DIS""]}]"
目前追踪到密切接触者104人，正在接受医学观察。,"[{""start"": 5, ""end"": 9, ""text"": ""密切接触"", ""labels"": [""TREAT""]}, {""start"": 19, ""end"": 23, ""text"": ""医学观察"", ""labels"": [""TREAT""]}]"
望美国人民做好防护，早日战胜疫情！,"[{""start"": 1, ""end"": 3, ""text"": ""美国"", ""labels"": [""LOC""]}]"
我们希望世界卫生组织的专业意见能够得到尊重。,"[{""start"": 4, ""end"": 10, ""text"": ""世界卫生组织"", ""labels"": [""ORG""]}]"
季节性流感不可怕，怕就怕美国的许多新冠病毒感染者都被标记为流感，这就麻烦大了，说实话，美国什么事都干得出来。,"[{""start"": 3, ""end"": 5, ""text"": ""流感"", ""labels"": [""DIS""]}, {""start"": 12, ""end"": 14, ""text"": ""美国"", ""labels"": [""LOC""]}, {""start"": 17, ""end"": 21, ""text"": ""新冠病毒"", ""labels"": [""DIS""]}, {""start"": 29, ""end"": 31, ""text"": ""流感"", ""labels"": [""DIS""]}, {""start"": 43, ""end"": 45, ""text"": ""美国"", ""labels"": [""LOC""]}]"
经查证属实的，将依法依规严肃处理--来源中国政府网,"[{""start"": 20, ""end"": 25, ""text"": ""中国政府网"", ""labels"": [""ORG""]}]"
现在科学这么先进，战胜疫情是绝对的?，感谢伊朗领导对我们大中华的祝福，在新年到来之际，我也祝福伊朗人民早日获得和平，我们中国人有句说话叫做能屈能伸，要克制，因为你们和美国之间的实力差别太大了，愿世界人民都能够和平相处.,"[{""start"": 21, ""end"": 23, ""text"": ""伊朗"", ""labels"": [""LOC""]}, {""start"": 47, ""end"": 49, ""text"": ""伊朗"", ""labels"": [""LOC""]}, {""start"": 60, ""end"": 62, ""text"": ""中国"", ""labels"": [""LOC""]}, {""start"": 83, ""end"": 85, ""text"": ""美国"", ""labels"": [""LOC""]}]"
除了SARS病毒有ACE2受体，会感染人，其它的蝙蝠身上的冠状病毒和穿山甲的冠状病毒有ACE2受体吗？,"[{""start"": 2, ""end"": 8, ""text"": ""SARS病毒"", ""labels"": [""DIS""]}, {""start"": 29, ""end"": 33, ""text"": ""冠状病毒"", ""labels"": [""DIS""]}, {""start"": 38, ""end"": 42, ""text"": ""冠状病毒"", ""labels"": [""DIS""]}]"
团结一心，抗击疫情，中国??,"[{""start"": 10, ""end"": 12, ""text"": ""中国"", ""labels"": [""LOC""]}]"
出门带口罩大家都遵循，你明智故犯，不隔离你隔离谁?执法的交警倒是很温和，但经常被人扇耳光，倒打一耙说警察打人了，一个简单事件引起交通阻塞，现在能这样么，非常时期手段要重一点，对付死皮赖脸的东西就要这样，做的非常对，大力支持！,"[{""start"": 3, ""end"": 5, ""text"": ""口罩"", ""labels"": [""TOOL""]}, {""start"": 18, ""end"": 20, ""text"": ""隔离"", ""labels"": [""POL""]}, {""start"": 21, ""end"": 23, ""text"": ""隔离"", ""labels"": [""POL""]}]"
",2）或者，不应该派包机把几百个美国公民和绿卡持有者接回美国？","[{""start"": 16, ""end"": 18, ""text"": ""美国"", ""labels"": [""LOC""]}, {""start"": 28, ""end"": 30, ""text"": ""美国"", ""labels"": [""LOC""]}]"
看看印度的环境卫生，有免费医疗也抵御不了吧！,"[{""start"": 2, ""end"": 4, ""text"": ""印度"", ""labels"": [""LOC""]}]"
中国有信心，也有能力战胜疫情！,"[{""start"": 0, ""end"": 2, ""text"": ""中国"", ""labels"": [""LOC""]}]"
捷克也闹新冠了？,"[{""start"": 4, ""end"": 6, ""text"": ""新冠"", ""labels"": [""DIS""]}, {""start"": 0, ""end"": 2, ""text"": ""捷克"", ""labels"": [""LOC""]}]"
只希望疫情过后，我们再一起去看樱花，找回樱花树下浪漫的武汉！,"[{""start"": 27, ""end"": 29, ""text"": ""武汉"", ""labels"": [""LOC""]}]"
这时候要是有个聪明的企业，就不涨价反而降价，拿出大部分做公益，把名声打出来，你看看疫情过了之后，会不会得到咱们咱们所有中国人的支持，以后他的销量会翻多少倍，包括政府及企业都会支持他！,"[{""start"": 59, ""end"": 61, ""text"": ""中国"", ""labels"": [""LOC""]}]"
武汉加油[心][心]白衣天使加油[心][心]中国加油[心][心]祈祷疫情不再增加了，愿患者早日康复??????,"[{""start"": 0, ""end"": 2, ""text"": ""武汉"", ""labels"": [""LOC""]}, {""start"": 22, ""end"": 24, ""text"": ""中国"", ""labels"": [""LOC""]}]"
钟南山院士说：必要时需要牺牲人情、交际和经济，所以不走亲访友，不要觉得人情浅薄，疫病面前，人命第一，春节来年有，年年有！,"[{""start"": 0, ""end"": 3, ""text"": ""钟南山"", ""labels"": [""PER""]}, {""start"": 50, ""end"": 52, ""text"": ""春节"", ""labels"": [""TIME""]}]"
中国底层社会都完全不在乎疫情所造成的经济影响！,"[{""start"": 0, ""end"": 2, ""text"": ""中国"", ""labels"": [""LOC""]}]"
跟这两年总体的经济萧条也是有关系的最近又续租了一个月的神州租车，感觉还挺好开的，而且疫情影响应该还会持续一段时间,"[{""start"": 27, ""end"": 31, ""text"": ""神州租车"", ""labels"": [""ORG""]}]"
特朗普换位思考一下哈，如果你在国外被确诊为新冠肺炎患者，美国人民是不是应该把你接回美国？,"[{""start"": 0, ""end"": 3, ""text"": ""特朗普"", ""labels"": [""PER""]}, {""start"": 18, ""end"": 20, ""text"": ""确诊"", ""labels"": [""TREAT""]}, {""start"": 21, ""end"": 25, ""text"": ""新冠肺炎"", ""labels"": [""DIS""]}, {""start"": 28, ""end"": 30, ""text"": ""美国"", ""labels"": [""LOC""]}, {""start"": 41, ""end"": 43, ""text"": ""美国"", ""labels"": [""LOC""]}]"
四、出狱时武汉系统是怎么沟通汇报的，疫情期间处理是否妥当五、沿途开车是否有停留上厕所造成污染六各高速路口是否有检查体温，了解客人从哪来七进京口是否有人询问人员来源及量体温七、北京社区怎么进来的，黄女至少身份证应该是湖北人，有关注吗，有量体温吗？,"[{""start"": 5, ""end"": 7, ""text"": ""武汉"", ""labels"": [""LOC""]}, {""start"": 87, ""end"": 89, ""text"": ""北京"", ""labels"": [""LOC""]}, {""start"": 107, ""end"": 109, ""text"": ""湖北"", ""labels"": [""LOC""]}]"
国难当头，中华儿女从不缺少团结互助、相互扶持，希望疫情早日结束，武汉加油??,"[{""start"": 32, ""end"": 34, ""text"": ""武汉"", ""labels"": [""LOC""]}]"
",甲类疫情管理期间,公众有更多的知情权，比起春节离开妻/夫/儿/女去上战场的医生工作人员,蹲家里的武汉人有什么好抱怨的？","[{""start"": 22, ""end"": 24, ""text"": ""春节"", ""labels"": [""TIME""]}, {""start"": 49, ""end"": 51, ""text"": ""武汉"", ""labels"": [""LOC""]}]"
你看清楚，是gilead为了对付疫情，公开了化学分子式，目的有好的一面。,"[{""start"": 6, ""end"": 12, ""text"": ""gilead"", ""labels"": [""ORG""]}]"
那是被罚去一线接诊肺炎患者好吗？,"[{""start"": 9, ""end"": 11, ""text"": ""肺炎"", ""labels"": [""DIS""]}]"
不是说03非典中医治疗效果很好吗？,"[{""start"": 3, ""end"": 5, ""text"": ""03"", ""labels"": [""TIME""]}, {""start"": 5, ""end"": 7, ""text"": ""非典"", ""labels"": [""DIS""]}]"
妇产科还要那么多口罩，给附近居民发，给住院家属发，给自己员工发，还真是吃饱撑的！,"[{""start"": 8, ""end"": 10, ""text"": ""口罩"", ""labels"": [""TOOL""]}]"
",如果李跃华目前仍然呈现阴性，就说明，有一定的预防效果。","[{""start"": 3, ""end"": 6, ""text"": ""李跃华"", ""labels"": [""PER""]}, {""start"": 12, ""end"": 14, ""text"": ""阴性"", ""labels"": [""TREAT""]}]"
求科普：疫情为什么在伊朗传的那么严重，只是因为医疗条件差吗,"[{""start"": 10, ""end"": 12, ""text"": ""伊朗"", ""labels"": [""LOC""]}]"
意大利人多数不愿戴口罩，这疫情扩散是免不了的，现在就是考验他们隔离能不能做好，医院的接受能力是否达到，不然死亡率会难控制，观念害死人啊！,"[{""start"": 0, ""end"": 3, ""text"": ""意大利"", ""labels"": [""LOC""]}, {""start"": 9, ""end"": 11, ""text"": ""口罩"", ""labels"": [""TOOL""]}, {""start"": 31, ""end"": 33, ""text"": ""隔离"", ""labels"": [""POL""]}]"
支持中央政府措施！,"[{""start"": 2, ""end"": 6, ""text"": ""中央政府"", ""labels"": [""ORG""]}]"
当然，因为有03年非典的临床经验，现在的治疗应该效率更高一些。,"[{""start"": 6, ""end"": 9, ""text"": ""03年"", ""labels"": [""TIME""]}, {""start"": 9, ""end"": 11, ""text"": ""非典"", ""labels"": [""DIS""]}]"
最早的症状是左下眼睑的结膜炎，2-3个小时后出现了卡他症状和发热。,"[{""start"": 11, ""end"": 14, ""text"": ""结膜炎"", ""labels"": [""SYM""]}, {""start"": 25, ""end"": 29, ""text"": ""卡他症状"", ""labels"": [""SYM""]}, {""start"": 30, ""end"": 32, ""text"": ""发热"", ""labels"": [""SYM""]}]"
日韩必竟是邻国，一旦大爆发会波及我国；我们需提供必要帮助,"[{""start"": 0, ""end"": 2, ""text"": ""日韩"", ""labels"": [""LOC""]}]"
银保监会引导金融机构积极开展疫情防控与服务社会经济民生等领域的支持，有力的支持了全社会打赢疫情防控阻击战。,"[{""start"": 0, ""end"": 4, ""text"": ""银保监会"", ""labels"": [""ORG""]}]"
请问，有多少口罩支持我们复工复产，按现在的数据，每天生产2000万只/天，其中医用220万只，N95的60万只，其余为工业级。,"[{""start"": 6, ""end"": 8, ""text"": ""口罩"", ""labels"": [""TOOL""]}, {""start"": 47, ""end"": 50, ""text"": ""N95"", ""labels"": [""TOOL""]}]"
不止武汉，现在全国人民都在做一回宅男宅女，希望肺炎早点结束吧。,"[{""start"": 2, ""end"": 4, ""text"": ""武汉"", ""labels"": [""LOC""]}, {""start"": 23, ""end"": 25, ""text"": ""肺炎"", ""labels"": [""DIS""]}]"
